y_over_delta u_mean v_mean
0.0 0.0 0.0
0.00030118 0.053639 0.0
0.0012045 0.21443 0.0
0.0027095 0.48197 0.0
0.0048153 0.85555 0.0
0.0075205 1.3339 0.0
0.010823 1.9148 0.0
0.014722 2.5939 0.0
0.019215 3.3632 0.0
0.024298 4.2095 0.0
0.029969 5.1133 0.0
0.036224 6.0493 0.0
0.04306 6.9892 0.0
0.050472 7.9052 0.0
0.058456 8.7741 0.0
0.067007 9.579 0.0
0.07612 10.311 0.0
0.08579 10.967 0.0
0.096011 11.55 0.0
0.10678 12.065999999999999 0.0
0.11808 12.52 0.0
0.12991 12.921 0.0
0.14227 13.276 0.0
0.15515 13.59 0.0
0.16853 13.87 0.0
0.18242 14.120999999999999 0.0
0.19679 14.349 0.0
0.21165 14.557 0.0
0.22699 14.75 0.0
0.24279 14.931 0.0
0.25905 15.100999999999999 0.0
0.27575 15.264000000000001 0.0
0.29289 15.419 0.0
0.31046 15.569 0.0
0.32844 15.714 0.0
0.34683 15.855 0.0
0.36561 15.993 0.0
0.38477 16.128 0.0
0.4043 16.26 0.0
0.42419 16.389 0.0
0.44443 16.515 0.0
0.465 16.637 0.0
0.4859 16.756 0.0
0.5071 16.872 0.0
0.5286 16.985 0.0
0.55039 17.094 0.0
0.57244 17.2 0.0
0.59476 17.302 0.0
0.61732 17.4 0.0
0.6401 17.494 0.0
0.66311 17.585 0.0
0.68632 17.672 0.0
0.70972 17.756 0.0
0.73329 17.835 0.0
0.75702 17.910999999999998 0.0
0.7809 17.980999999999998 0.0
0.80491 18.045 0.0
0.82904 18.102999999999998 0.0
0.85327 18.154 0.0
0.87759 18.198 0.0
0.90198 18.235 0.0
0.92644 18.264 0.0
0.95093 18.285 0.0
0.97546 18.297 0.0
1.0 18.301 0.0
