density pressure rhoadv_0 temp theta x_velocity y_velocity z_velocity arc_length Points:0 Points:1 Points:2
1.0008 81192 0 282.66 300 0.47884 0 0.0011602 0.0 0.1 0.5 0.0
1.0008 81192 0 282.66 300 0.65563 0 0.0033077 0.015873 0.1 0.5 0.015873
1.0008 81193 0 282.66 300 0.71051 0 0.0050001 0.031746 0.1 0.5 0.031746
1.0008 81193 0 282.66 300 0.7466 0 0.0060826 0.047619 0.1 0.5 0.047619
1.0009 81194 0 282.66 300 0.77454 0 0.0065561 0.063492 0.1 0.5 0.063492
1.0009 81194 0 282.66 300 0.7975 0 0.0065984 0.079365 0.1 0.5 0.079365
1.0009 81195 0 282.67 300 0.817 0 0.0065104 0.095238 0.1 0.5 0.095238
1.0009 81196 0 282.67 300 0.83398 0 0.0065931 0.11111 0.1 0.5 0.11111
1.0009 81196 0 282.67 300 0.84905 0 0.0070014 0.12698 0.1 0.5 0.12698
1.0009 81196 0 282.67 300 0.86261 0 0.0076587 0.14286 0.1 0.5 0.14286
1.0009 81196 0 282.67 300 0.87494 0 0.0083044 0.15873 0.1 0.5 0.15873
1.0009 81196 0 282.67 300 0.88623 0 0.008671 0.1746 0.1 0.5 0.1746
1.0009 81197 0 282.67 300 0.89666 0 0.0086791 0.19048 0.1 0.5 0.19048
1.0009 81197 0 282.67 300 0.90635 0 0.0084962 0.20635 0.1 0.5 0.20635
1.0009 81197 0 282.67 300 0.91543 0 0.0083951 0.22222 0.1 0.5 0.22222
1.0009 81198 0 282.67 300 0.92397 0 0.0085179 0.2381 0.1 0.5 0.2381
1.0009 81198 0 282.67 300 0.93206 0 0.0087613 0.25397 0.1 0.5 0.25397
1.0009 81198 0 282.67 300 0.93971 0 0.0089011 0.26984 0.1 0.5 0.26984
1.0009 81198 0 282.67 300 0.94699 0 0.0088319 0.28571 0.1 0.5 0.28571
1.0009 81198 0 282.67 300 0.95392 0 0.0086672 0.30159 0.1 0.5 0.30159
1.0009 81199 0 282.67 300 0.96056 0 0.0085889 0.31746 0.1 0.5 0.31746
1.0009 81199 0 282.67 300 0.96694 0 0.0086307 0.33333 0.1 0.5 0.33333
1.0009 81199 0 282.67 300 0.97307 0 0.0086601 0.34921 0.1 0.5 0.34921
1.0009 81199 0 282.67 300 0.97896 0 0.0085694 0.36508 0.1 0.5 0.36508
1.0009 81199 0 282.67 300 0.98462 0 0.0084122 0.38095 0.1 0.5 0.38095
1.0009 81200 0 282.67 300 0.9901 0 0.0083067 0.39683 0.1 0.5 0.39683
1.0009 81200 0 282.67 300 0.9954 0 0.0082618 0.4127 0.1 0.5 0.4127
1.0009 81200 0 282.67 300 1.0005 0 0.0081845 0.42857 0.1 0.5 0.42857
1.0009 81200 0 282.67 300 1.0056 0 0.0080357 0.44444 0.1 0.5 0.44444
1.0009 81200 0 282.67 300 1.0104 0 0.0078807 0.46032 0.1 0.5 0.46032
1.0009 81200 0 282.67 300 1.0152 0 0.0077674 0.47619 0.1 0.5 0.47619
1.0009 81201 0 282.67 300 1.0197 0 0.0076534 0.49206 0.1 0.5 0.49206
1.0009 81201 0 282.67 300 1.0242 0 0.0074941 0.50794 0.1 0.5 0.50794
1.0009 81201 0 282.67 300 1.0286 0 0.0073193 0.52381 0.1 0.5 0.52381
