"density","pressure","rhoadv_0","temp","theta","x_velocity","y_velocity","z_velocity","arc_length","Points:0","Points:1","Points:2"
1.0003,81131,0,282.6,300,0.48627,0,1.8446e-05,0,0.1,0.5,0
1.0003,81131,0,282.6,300,0.66307,0,4.8757e-05,0.015873,0.1,0.5,0.015873
1.0003,81131,0,282.6,300,0.71798,0,7.0977e-05,0.031746,0.1,0.5,0.031746
1.0003,81131,0,282.6,300,0.7541,0,9.0726e-05,0.047619,0.1,0.5,0.047619
1.0003,81131,0,282.6,300,0.78211,0,0.00010841,0.063492,0.1,0.5,0.063492
1.0003,81131,0,282.6,300,0.80515,0,0.00012439,0.079365,0.1,0.5,0.079365
1.0003,81131,0,282.6,300,0.82475,0,0.00013943,0.095238,0.1,0.5,0.095238
1.0003,81131,0,282.6,300,0.84181,0,0.00015324,0.11111,0.1,0.5,0.11111
1.0003,81131,0,282.6,300,0.85695,0,0.0001655,0.12698,0.1,0.5,0.12698
1.0003,81131,0,282.6,300,0.87056,0,0.00017706,0.14286,0.1,0.5,0.14286
1.0003,81131,0,282.6,300,0.88292,0,0.0001881,0.15873,0.1,0.5,0.15873
1.0003,81131,0,282.6,300,0.89425,0,0.00019765,0.1746,0.1,0.5,0.1746
1.0003,81131,0,282.6,300,0.90472,0,0.00020618,0.19048,0.1,0.5,0.19048
1.0003,81131,0,282.6,300,0.91448,0,0.00021488,0.20635,0.1,0.5,0.20635
1.0003,81131,0,282.6,300,0.92361,0,0.00022297,0.22222,0.1,0.5,0.22222
1.0003,81131,0,282.6,300,0.93221,0,0.00022942,0.2381,0.1,0.5,0.2381
1.0003,81131,0,282.6,300,0.94034,0,0.00023563,0.25397,0.1,0.5,0.25397
1.0003,81131,0,282.6,300,0.94803,0,0.0002427,0.26984,0.1,0.5,0.26984
1.0003,81131,0,282.6,300,0.95535,0,0.00024892,0.28571,0.1,0.5,0.28571
1.0003,81131,0,282.6,300,0.96234,0,0.00025332,0.30159,0.1,0.5,0.30159
1.0003,81131,0,282.6,300,0.96903,0,0.00025838,0.31746,0.1,0.5,0.31746
1.0003,81131,0,282.6,300,0.97545,0,0.00026535,0.33333,0.1,0.5,0.33333
1.0003,81131,0,282.6,300,0.98162,0,0.00027129,0.34921,0.1,0.5,0.34921
1.0003,81131,0,282.6,300,0.98755,0,0.00027495,0.36508,0.1,0.5,0.36508
