density pressure rhoadv_0 temp theta x_velocity y_velocity z_velocity arc_length Points:0 Points:1 Points:2
1 81102 0 282.57 300 0.49408 0 2.5491e-05 0.0 0.1 0.5 0.0
1 81102 0 282.57 300 0.67085 0 7.5333e-05 0.015873 0.1 0.5 0.015873
1 81102 0 282.57 300 0.72575 0 0.00012424 0.031746 0.1 0.5 0.031746
1 81102 0 282.57 300 0.76187 0 0.00017391 0.047619 0.1 0.5 0.047619
1 81102 0 282.57 300 0.78987 0 0.00022499 0.063492 0.1 0.5 0.063492
1 81102 0 282.57 300 0.81291 0 0.00027798 0.079365 0.1 0.5 0.079365
1 81102 0 282.57 300 0.8325 0 0.00033328 0.095238 0.1 0.5 0.095238
1 81102 0 282.57 300 0.84956 0 0.0003911 0.11111 0.1 0.5 0.11111
1 81102 0 282.57 300 0.8647 0 0.0004515 0.12698 0.1 0.5 0.12698
1 81102 0 282.57 300 0.8783 0 0.00051426 0.14286 0.1 0.5 0.14286
1 81102 0 282.57 300 0.89066 0 0.0005787 0.15873 0.1 0.5 0.15873
1 81102 0 282.57 300 0.90199 0 0.00064347 0.1746 0.1 0.5 0.1746
1 81102 0 282.57 300 0.91246 0 0.00070657 0.19048 0.1 0.5 0.19048
1 81102 0 282.57 300 0.92221 0 0.00076534 0.20635 0.1 0.5 0.20635
1 81102 0 282.57 300 0.93134 0 0.00081647 0.22222 0.1 0.5 0.22222
1 81102 0 282.57 300 0.93993 0 0.00085596 0.2381 0.1 0.5 0.2381
1 81102 0 282.57 300 0.94805 0 0.00087952 0.25397 0.1 0.5 0.25397
1 81102 0 282.57 300 0.95574 0 0.00088331 0.26984 0.1 0.5 0.26984
1 81102 0 282.57 300 0.96305 0 0.00086467 0.28571 0.1 0.5 0.28571
1 81102 0 282.57 300 0.97002 0 0.00082266 0.30159 0.1 0.5 0.30159
1 81102 0 282.57 300 0.9767 0 0.0007586 0.31746 0.1 0.5 0.31746
1 81102 0 282.57 300 0.98311 0 0.00067669 0.33333 0.1 0.5 0.33333
1 81102 0 282.57 300 0.98926 0 0.0005843 0.34921 0.1 0.5 0.34921
1 81102 0 282.57 300 0.99518 0 0.00049133 0.36508 0.1 0.5 0.36508
1 81102 0 282.57 300 1.0009 0 0.00040855 0.38095 0.1 0.5 0.38095
1 81102 0 282.57 300 1.0064 0 0.00034561 0.39683 0.1 0.5 0.39683
1 81102 0 282.57 300 1.0117 0 0.00030923 0.4127 0.1 0.5 0.4127
1 81102 0 282.57 300 1.0169 0 0.00030172 0.42857 0.1 0.5 0.42857
1 81102 0 282.57 300 1.0219 0 0.00031986 0.44444 0.1 0.5 0.44444
1 81102 0 282.57 300 1.0268 0 0.00035469 0.46032 0.1 0.5 0.46032
1 81102 0 282.57 300 1.0316 0 0.00039304 0.47619 0.1 0.5 0.47619
1 81102 0 282.57 300 1.0362 0 0.00042107 0.49206 0.1 0.5 0.49206
1 81102 0 282.57 300 1.0407 0 0.00042853 0.50794 0.1 0.5 0.50794
1 81102 0 282.57 300 1.0451 0 0.00041181 0.52381 0.1 0.5 0.52381
1 81102 0 282.57 300 1.0494 0 0.0003747 0.53968 0.1 0.5 0.53968
1 81102 0 282.57 300 1.0535 0 0.00032694 0.55556 0.1 0.5 0.55556
1 81102 0 282.57 300 1.0576 0 0.00028136 0.57143 0.1 0.5 0.57143
1 81102 0 282.57 300 1.0615 0 0.00025007 0.5873 0.1 0.5 0.5873
1 81102 0 282.57 300 1.0654 0 0.00024017 0.60317 0.1 0.5 0.60317
1 81102 0 282.57 300 1.0691 0 0.00025042 0.61905 0.1 0.5 0.61905
1 81102 0 282.57 300 1.0728 0 0.0002711 0.63492 0.1 0.5 0.63492
1 81102 0 282.57 300 1.0763 0 0.00028807 0.65079 0.1 0.5 0.65079
1 81102 0 282.57 300 1.0796 0 0.00028968 0.66667 0.1 0.5 0.66667
1 81102 0 282.57 300 1.0829 0 0.00027244 0.68254 0.1 0.5 0.68254
1 81102 0 282.57 300 1.0861 0 0.00024213 0.69841 0.1 0.5 0.69841
1 81102 0 282.57 300 1.0891 0 0.00020988 0.71429 0.1 0.5 0.71429
1 81102 0 282.57 300 1.092 0 0.00018608 0.73016 0.1 0.5 0.73016
1 81102 0 282.57 300 1.0947 0 0.0001756 0.74603 0.1 0.5 0.74603
1 81102 0 282.57 300 1.0973 0 0.00017655 0.7619 0.1 0.5 0.7619
1 81102 0 282.57 300 1.0998 0 0.00018203 0.77778 0.1 0.5 0.77778
1 81102 0 282.57 300 1.1022 0 0.00018361 0.79365 0.1 0.5 0.79365
